Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
T10,10,597.5732652999935,0.5304569143591896,3928,2083.634759602897
T10,10,599.6051109903266,0.5300521097737679,3948,2092.6457293868357
T11,11,601.6406828748206,0.5298208271227625,3952,2093.8519087891573
T11,11,603.6940855856792,0.5281021170310406,3967,2094.981098262138
T11,11,605.7309695794405,0.5267940742286519,3970,2091.372474687748
T11,11,607.760488482227,0.5254446581526986,3977,2089.6934054732824
T11,11,609.7683750833363,0.5240085447904701,3976,2083.457974086909
T11,11,611.769137470148,0.5229105441819174,3981,2081.706876388213
T11,11,613.7769691050185,0.521186521476321,3980,2074.322355475758
T11,11,615.8362556303344,0.5194290975348049,3990,2072.5220991638716
T11,11,617.8532238290062,0.518718630245482,3991,2070.2060533097188
T11,11,619.8604438082838,0.516962029186752,3988,2061.644572396767
T11,11,621.8676292861785,0.5148281165751656,3990,2054.164185134911
T11,11,623.9087123106946,0.5134097878901118,3991,2049.0184634694365
T11,11,625.9237042426014,0.5130717240511261,3996,2050.2346093083
T11,11,627.9695599361739,0.5116153061720261,3990,2041.3450716263842
T11,11,629.9704743285797,0.5114754118881685,3993,2042.321319669457
T11,11,631.9729799092905,0.5113457930266301,4004,2047.4285552786268
T11,11,633.9805715968316,0.512632615989312,4006,2053.6062596531838
T11,11,636.0114855224666,0.5133106285975028,4017,2061.9687950761686
T11,11,638.027079261356,0.5109986067836146,4012,2050.1264104158618
T11,11,640.0731341321194,0.51101153665036,4014,2051.2003081145454
T11,11,642.0836519984969,0.5099135281720368,4012,2045.773075026212
T11,11,644.0843939451094,0.5091629801342512,4013,2043.2710392787503
T11,11,646.0875126204178,0.5071422084797921,4017,2037.1902514633248
T11,11,648.0953778648399,0.5065254786841148,4024,2038.258526224878
T11,11,650.0961428837645,0.5061561177088808,4027,2038.2906860136632
T11,11,652.1107687752556,0.5070458487306216,4032,2044.4088620818666
T11,11,654.1531782868592,0.5053016052705613,4035,2038.891977266715
T11,11,656.1672193123928,0.5055693372182567,4033,2038.9611370012294
T11,11,658.1919359370866,0.5045785800947594,4038,2037.4883064226385
T12,12,660.2156772363824,0.5061493448455563,4038,2043.8310544863564
T12,12,662.2212242970154,0.5068150736675517,4039,2047.0260825432415
T12,12,664.2292351183435,0.5058298305084423,4040,2043.5525152541068
T12,12,666.2349182625,0.5066195570085678,4042,2047.756249428631
T12,12,668.2434738357305,0.5053265245933607,4042,2042.5298124063638
T12,12,670.2634360756248,0.5047866953425972,4040,2039.3382491840928
T12,12,672.31133694902,0.5059094683346611,4036,2041.8506141986923
T12,12,674.3372571904723,0.5047213863505765,4031,2034.5319083791737
T12,12,676.3621745862891,0.5047857848859845,4025,2031.7627841660876
T12,12,678.3635751771152,0.5044536947500541,4021,2028.4083065899677
T12,12,680.4044428872363,0.5056023414002563,4023,2034.038219453231
T12,12,682.4108404199407,0.505969291098107,4008,2027.9249187212126
T12,12,684.4339232378803,0.5052664981370073,4008,2025.1081245331252
T12,12,686.4477117428617,0.5051965845328789,4013,2027.353893730443
T12,12,688.4595931381771,0.5057901545813897,4014,2030.241680489698
T12,12,690.4697622655983,0.5051851026640546,4004,2022.7611510668744
