Run,Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
2,T6,6,353.03293272772225,0.5950413573119159,910,541.4876351538435
2,T6,6,355.08305566941107,0.5912403288094433,927,548.0797848063539
2,T6,6,357.1107419477141,0.5893464779567082,945,556.9324216690893
2,T6,6,359.17673029265103,0.5911395476180256,965,570.4496634513947
2,T7,7,361.1959618730443,0.5892893999931168,984,579.8607695932269
2,T7,7,363.2268782131281,0.5887471042716655,1011,595.2233224186539
2,T7,7,365.2320927409686,0.5877068480036195,1037,609.4520013797534
2,T7,7,367.26571831208304,0.5884746256181131,1064,626.1370016576724
2,T7,7,369.2872585861217,0.5894511252685598,1094,644.8595310438044
2,T7,7,371.3185797697824,0.5911376674281714,1122,663.2564628544084
2,T7,7,373.40620314265635,0.5912010477223205,1148,678.698802785224
2,T7,7,375.4266421261694,0.590972707177194,1176,694.98390364038
2,T7,7,377.4337986277582,0.5897020653259454,1204,710.0012866524382
2,T7,7,379.4496866125287,0.5891742753897286,1229,724.0951844539763
2,T7,7,381.4659378618538,0.5882332453849374,1254,737.6444897127114
2,T7,7,383.47481065077284,0.5860804545995375,1281,750.7690623420076
2,T7,7,385.48127725627825,0.5859430831082227,1308,766.4135527055553
2,T7,7,387.48655772667047,0.585262112646176,1335,781.324920382645
2,T7,7,389.495700318113,0.5830508445821858,1364,795.2813520101014
2,T7,7,391.53431838648225,0.5837034832417216,1396,814.8500626054433
2,T7,7,393.5733047067394,0.5837683542997886,1416,826.6159896885007
2,T7,7,395.605346902377,0.5822050332980955,1440,838.3752479492574
2,T7,7,397.6512257980441,0.5843987435437091,1469,858.4817542657087
2,T7,7,399.6804185724146,0.5841323224591973,1492,871.5254251091224
2,T7,7,401.6836177476117,0.5831336064922508,1519,885.7799482617289
2,T7,7,403.69195587470847,0.5821554439844452,1549,901.7587827319055
2,T7,7,405.7315190667043,0.579076482066001,1576,912.6245357360177
2,T7,7,407.74967041993546,0.5782612220675512,1603,926.9527389742844
2,T7,7,409.7643479500322,0.576955745667259,1630,940.4378654376322
2,T7,7,411.7800965538593,0.5745283436776697,1652,949.1208237555104
2,T7,7,413.8151508829226,0.5746049458529445,1675,962.4632843036821
2,T7,7,415.81961171337696,0.574992451880806,1701,978.062160649251
2,T7,7,417.8539123576766,0.5723248219477027,1728,988.9772923256304
2,T7,7,419.89897607555463,0.5714239054476558,1754,1002.2775301551883
2,T8,8,421.9064238066577,0.5703028937468889,1781,1015.7094537632092
2,T8,8,423.9261583105798,0.5698568075650671,1814,1033.7202489230317
2,T8,8,425.9327725565674,0.5702652077814587,1845,1052.1393083567914
2,T8,8,427.9546962540046,0.5703648269462295,1873,1068.2933208702877
2,T8,8,429.97658186518,0.5728488398921818,1905,1091.2770399946064
2,T8,8,431.98913141177366,0.5714360500787742,1936,1106.300192952507
2,T8,8,434.02003050664916,0.568971501750824,1963,1116.8910579368676
2,T8,8,436.032316660675,0.5688450420835742,1991,1132.5704787883963
2,T8,8,438.07039731429245,0.5670323716050046,2023,1147.1064877569245
2,T8,8,440.085306775523,0.5663772072104393,2052,1162.2060291958214
2,T8,8,442.09931036550773,0.5643637970870203,2078,1172.7479703468282
2,T8,8,444.1121915563029,0.5630487781364945,2104,1184.6546291991842
2,T8,8,446.1159059130829,0.5626855800325092,2128,1197.3949143091797
2,T8,8,448.14852458171697,0.5615199439754903,2157,1211.1985191551325
2,T8,8,450.1538125858855,0.5613921916176713,2181,1224.396369918141
2,T8,8,452.17701906965584,0.5597649743208059,2212,1238.2001231976226
2,T8,8,454.18045706611645,0.5603691012673726,2244,1257.4682632439842
2,T8,8,456.2304876494479,0.5606640095977135,2272,1273.828629806005
2,T8,8,458.2861501971744,0.5599161350188812,2298,1286.687278273389
2,T8,8,460.32303252119146,0.5597898535283781,2323,1300.3918297464222
2,T8,8,462.3377820056504,0.5611560248322833,2348,1317.5943463062013
2,T8,8,464.3529499316926,0.5597937250809367,2372,1327.830715891982
2,T8,8,466.3612339152537,0.5576081180314033,2397,1336.5866589212737
2,T8,8,468.36269981343116,0.5561709485885608,2423,1347.6022084300828
2,T8,8,470.39410599471927,0.5536247827170362,2448,1355.2734680913047
2,T8,8,472.41152168274067,0.5532158110681674,2475,1369.2091323937143
2,T8,8,474.44023265366434,0.5528449324649091,2500,1382.1123311622728
2,T8,8,476.4578248113586,0.5510455870578717,2526,1391.9411529081838
2,T8,8,478.4627555644837,0.5484200179647731,2550,1398.4710458101715
2,T9,9,480.47151796554346,0.5492689950512873,2569,1411.072048286757
2,T9,9,482.503488319695,0.5484661468161267,2600,1426.0119817219295
2,T9,9,484.51667797559713,0.5475000443742016,2630,1439.9251167041502
2,T9,9,486.5264343195824,0.5470819829396789,2665,1457.9734845342443
2,T9,9,488.5368043371094,0.54704914180541,2695,1474.2974371655798
2,T9,9,490.5526234518051,0.5469477356443144,2725,1490.432579630757
2,T9,9,492.578412036508,0.5457857340375245,2754,1503.0939115393423
2,T9,9,494.58713819767826,0.5436414093014007,2781,1511.8667592671954
2,T9,9,496.5968550218689,0.5446852464573602,2809,1530.0208572987246
2,T9,9,498.61626594609385,0.5432916550965643,2838,1541.8617171640494
2,T9,9,500.63356316575556,0.5415675151057848,2867,1552.6740658082851
2,T9,9,502.6655652075649,0.540397632551999,2892,1562.8299533403813
2,T9,9,504.7011070964658,0.5408774474927499,2923,1580.984779021308
2,T9,9,506.7049982661483,0.5397423912888202,2953,1593.8592814758858
2,T9,9,508.7231020428686,0.5375628334376585,2977,1600.3245551439095
2,T9,9,510.7563692132158,0.5381774043605947,3005,1617.223100103587
2,T9,9,512.7729759751766,0.5389004862080827,3028,1631.7906722380744
2,T9,9,514.7996817102667,0.5371531033206578,3058,1642.6141899545717
2,T9,9,516.8159115805252,0.5376541727429991,3084,1658.1254687394091
2,T9,9,518.8211847511208,0.5377328928046976,3114,1674.5002281938284
2,T9,9,520.822617933675,0.5370206294603675,3125,1678.1894670636486
2,T9,9,522.8269341965199,0.5408231330610851,3149,1703.052046009357
2,T9,9,524.8350106539285,0.5403662885519619,3176,1716.2033324410309
2,T9,9,526.8416954625569,0.5402364955660187,3192,1724.4348938467317
2,T9,9,528.8609599815825,0.5409039075594855,3218,1740.6287745264244
2,T9,9,530.8795643464554,0.5403695839971846,3245,1753.499300070864
2,T9,9,532.8877558599513,0.5391900400796585,3266,1760.9946709001647
2,T9,9,534.9069347649091,0.5397521359932247,3292,1776.8640316896956
2,T9,9,536.9358817514101,0.5393934878567105,3310,1785.3924448057119
2,T9,9,538.9387382104796,0.5392518437479767,3334,1797.8656470557544
2,T10,10,540.9796491595225,0.5414722636931466,3360,1819.3468060089726
2,T10,10,542.987530579099,0.5398773222000346,3383,1826.404981002717
2,T10,10,544.9969302618113,0.5404192870288336,3405,1840.1276723331782
2,T10,10,547.001607385495,0.5394008560724468,3424,1846.908531192058
2,T10,10,549.0057617479106,0.535983665426987,3439,1843.2478254034086
2,T10,10,551.0276286279121,0.5356155332764586,3453,1849.4804364036115
2,T10,10,553.055666531509,0.5355299243505973,3472,1859.359897345274
2,T10,10,555.0600759060616,0.5374247837726168,3492,1876.687344933978
2,T10,10,557.0768041925998,0.5377069697311606,3514,1889.5022916352982
